weight,age,female,married,educ,kids,race,lfpart,empl,income,wageinc,ssretinc,intdivinc,busfarminc,capgainsinc,othinc,owner,rent,hpayday,bankrupt5y,latepay60d,creditapplied,creditdenied,takefinrisk,finknowledge,finlit,equity,finassets,liqassets,houses,business,vehicles,assets,networth,stocks,stkmutfnd,othresre,netnresre,othnfin,mortages,heloc,othloc,instloanveh,instloaneduc,instloanoth,ccbalance,debt,totloanpay
26488.32,75,1,0,4,0,1,1,1,48390.1,1180.2,9442,35997.5,0,4130.9,0,1,0,0,0,0,1,0,1,6,3,467855.3,1639116.3,6955.2,1275125.8,0,7534.8,2958871.5,2958871.5,0,0,0,0,37094.6,0,0,0,0,0,0,0,0,0
18965.33,50,0,1,2,3,1,1,4,44849.4,14163,10858.3,0,0,0,19710.1,0,1275.1,0,0,0,0,0,1,5,1,0,1837.3,1837.3,0,0,9389.6,11226.9,-6624.9,0,0,0,0,0,0,0,0,6607.5,0,11244.3,0,17851.8,452.1
20497.39,53,0,1,2,0,1,1,1,121565.5,121565.5,0,0,0,0,0,0,1159.2,0,0,1,0,0,1,7,2,14374.1,19416.7,4347,0,0,20170.2,39586.9,39297.1,0,0,0,0,0,0,0,0,0,0,0,289.8,289.8,7.2
31707.94,29,0,1,4,0,1,1,1,143990.2,143990.2,0,0,0,0,0,1,0,0,0,0,1,0,1,8,3,16837.5,45029.3,16628.8,249229.1,0,20170.2,314428.6,-136386.3,0,0,0,0,0,237637.1,0,0,7998.5,205179.3,0,0,450814.9,3326.9
21232.16,47,0,1,2,0,4,1,1,34227.2,23604.9,0,0,0,0,10858.3,0,579.6,1,0,0,1,0,0,7,3,0,892.6,892.6,0,0,1854.7,2747.3,1959.1,0,0,0,0,0,0,0,0,788.3,0,0,0,788.3,139.1
25252.54,28,0,0,4,0,1,1,1,31866.7,31866.7,0,0,0,0,0,0,695.5,0,0,0,0,0,1,4,3,695.5,1854.7,1159.2,0,0,0,1854.7,-14420.5,0,0,0,0,0,0,0,0,0,16275.2,0,0,16275.2,0
43054.39,53,1,0,2,0,1,0,3,14163,0,0,0,0,0,14163,0,301.4,0,0,0,0,0,0,5,2,0,324.6,324.6,0,0,0,324.6,324.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.8568,52,0,1,4,3,1,1,1,17373243.1,2360495,0,2620149.4,5901237.5,6491361.2,0,1,0,0,0,0,0,0,1,9,3,226615246.2,339382598.5,82756570.4,1657663.6,190063300.7,129483.2,539231562.5,535985787.7,187095735.1,30185706,7071152.3,927364.2,0,0,0,0,0,0,0,0,3245774.8,11592.1
20923.78,71,0,1,4,0,1,0,3,88990.7,0,90170.9,0,-1180.2,0,0,1,0,0,0,0,1,0,1,6,3,399230.3,1001553.4,3477.6,324577.5,0,28980.1,1557971.9,1404145.4,0,0,202860.9,0,0,81144.4,3129.9,0,0,0,0,0,153826.5,1877.9
33190.65,55,0,0,4,0,1,1,1,149891.4,115664.3,28325.9,5901.2,0,0,0,1,0,0,0,0,1,0,1,10,2,32457.7,420443.8,4289.1,115920.5,0,45209,581573.3,581573.3,32457.7,0,0,0,0,0,0,0,0,0,0,0,0,0
21613.03,62,0,0,3,0,1,1,2,47209.9,12982.7,34227.2,0,106.2,0,0,0,695.5,0,0,0,0,0,0,4,2,0,1564.9,1564.9,0,0,0,3466,-8126,0,0,0,0,1901.1,0,0,0,0,0,0,11592.1,11592.1,289.8
36798.89,67,0,1,4,0,1,1,1,215985.3,76716.1,140449.5,0,0,0,0,1,0,0,0,0,1,0,0,10,3,125773.8,299654.6,15649.3,173880.8,0,41731.4,515266.8,350427.8,0,0,0,0,0,127512.6,0,0,26661.7,0,0,9505.5,164839,2915.4
40607.2,24,0,1,4,0,4,1,1,69634.6,68454.4,0,0,0,0,0,0,1275.1,0,0,0,1,0,1,7,2,1170.8,3952.9,2782.1,0,0,0,3952.9,-19636.9,11.6,0,0,0,0,0,0,0,0,22604.5,0,985.3,23589.8,82.6
