weight,age,female,married,educ,kids,race,lfpart,empl,income,wageinc,ssretinc,intdivinc,busfarminc,capgainsinc,othinc,owner,rent,hpayday,bankrupt5y,latepay60d,creditapplied,creditdenied,takefinrisk,finknowledge,finlit,equity,finassets,liqassets,houses,business,vehicles,assets,networth,stocks,stkmutfnd,othresre,netnresre,othnfin,mortages,heloc,othloc,instloanveh,instloaneduc,instloanoth,ccbalance,debt,totloanpay
15523.35,54,0,0,2,1,1,1,1,25842,19381.5,6202.1,0,0,0,0,0,763.7,0,0,0,0,0,0,,,0,0,0,0,0,5473.2,5473.2,-509.1,0,0,0,0,0,0,0,0,0,0,0,0,5982.3,0
29435.09,22,0,0,3,0,1,1,1,28426.2,28426.2,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1909.2,1909.2,0,0,8146.1,10055.4,-10946.4,0,0,0,0,0,0,0,0,0,19092.5,0,1909.2,21001.7,238.7
26201.63,53,0,1,2,0,1,1,1,67189.3,67189.3,0,0,0,0,0,1,229.1,0,0,0,1,0,1,,,0,763.7,763.7,12728.3,0,24183.8,37675.9,-636.4,0,0,0,0,0,0,0,0,10182.7,0,0,28129.6,38312.3,970.5
12695.61,48,0,1,4,1,1,1,1,192523.1,155052.1,0,5168.4,0,-1.3,32302.5,1,0,0,0,0,1,0,1,,,1009993,2660412,51104.2,604595.7,0,33984.6,3298992.3,2914596.7,0,890983.1,0,0,0,333482.3,0,0,0,25456.7,0,25456.7,384395.6,2736.6
19926.28,57,0,1,4,0,1,1,1,138254.8,138254.8,0,0,0,0,0,1,0,0,0,0,1,0,1,,,128365.2,275568.4,39457.8,190925,0,33348.2,868963.1,862217.1,0,127283.3,38185,330936.6,0,0,0,0,4709.5,0,0,2036.5,6746,483.7
39281.04,63,1,0,2,0,1,1,1,41347.2,40055.1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,3436.6,6236.9,2418.4,54731.8,0,9800.8,70769.5,69865.8,0,0,0,0,0,0,0,0,0,0,0,903.7,903.7,22.6
20679.88,46,0,1,4,2,1,1,1,200275.7,200275.7,0,129.2,0,0,0,1,0,0,0,0,1,0,1,,,219436.4,293515.3,10946.4,598231.5,0,36912.2,928659,375613,0,0,0,0,0,498950.6,0,0,28638.7,25456.7,0,0,553046,5549.6
16372.8,35,0,1,4,2,4,1,1,67189.3,60728.8,0,38.8,-2325.8,0,8915.5,0,954.6,0,0,0,1,0,1,,,14892.1,78151.9,13237.5,0,0,12346.5,412525.2,126901.5,0,0,318208.3,0,3818.5,0,0,0,0,0,0,9419,285623.7,2628.4
19020.49,31,1,0,3,0,2,1,1,34886.7,34886.7,0,0,0,0,0,0,674.6,1,0,1,1,0,1,,,5091.3,6962.4,598.2,0,0,5473.2,12435.6,1094.6,0,0,0,0,0,0,0,1527.4,0,7637,776.4,1400.1,11340.9,340.5
22896.05,32,0,1,2,0,1,1,1,54268.3,54268.3,0,0,0,0,0,0,674.6,0,0,0,0,0,0,,,0,381.8,381.8,0,0,4454.9,4836.8,-18074.2,0,0,0,0,0,0,0,0,0,22911,0,0,22911,248.2
26704.62,50,0,1,2,0,1,1,2,161512.7,0,0,0,122749.6,0,0,1,0,0,0,0,1,0,1,,,45822,169286.8,63641.7,254566.6,0,85279.8,509133.2,433056,0,45822,0,0,0,53459,0,0,21638.2,0,0,980.1,76077.2,1870.1
