weight,age,female,married,educ,kids,race,lfpart,empl,income,wageinc,ssretinc,intdivinc,busfarminc,capgainsinc,othinc,owner,rent,hpayday,bankrupt5y,latepay60d,creditapplied,creditdenied,takefinrisk,finknowledge,finlit,equity,finassets,liqassets,houses,business,vehicles,assets,networth,stocks,stkmutfnd,othresre,netnresre,othnfin,mortages,heloc,othloc,instloanveh,instloaneduc,instloanoth,ccbalance,debt,totloanpay
15274.5,70,1,0,3,2,1,0,3,38264.3,0,37183.4,54,0,0,0,1,0,0,0,0,1,0,1,5,1,177000,184300,7300,858000,0,25000,1067300,854300,0,0,0,0,0,213000,0,0,0,0,0,0,213000,3700
1264.541,46,0,0,4,0,1,1,2,224829.7,9836.3,0,0,215101.5,0,0,1,0,0,0,0,1,0,1,8,3,75000,144000,44000,580000,460000,60000,1244000,724300,0,0,0,0,0,487000,0,0,32000,0,0,700,519700,3567.5
3359.162,68,0,1,4,0,1,0,3,461549.3,0,95120.2,321030.8,853.9,45398.3,0,1,0,0,0,0,0,0,1,9,3,60377000,60671480,8480,570000,0,36030,61291510,44451510,59670000,325000,14000,0,0,0,0,0,0,0,0,0,16840000,108349.1
3060.347,74,1,0,4,0,1,0,3,144842.2,0,139437.6,5404.6,0,0,0,0,5500,0,0,0,0,0,1,7,3,1721250,1960000,165000,0,0,0,2000000,2000000,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
36353.52,19,1,1,2,0,4,1,1,61612,60531.1,0,0,0,0,0,0,800,0,0,0,1,1,1,7,0,0,1500,1500,0,0,13000,14500,4500,0,0,0,0,0,0,0,0,10000,0,0,0,10000,530
19198.81,74,0,1,4,0,1,0,3,272714.1,0,136519.2,28644.2,-1.1,107010.3,0,1,0,0,0,0,0,0,1,10,2,3546350,4913000,162000,700000,0,134000,6527000,6371000,2560000,0,780000,0,0,156000,0,0,0,0,0,0,156000,1900
295.9944,52,0,1,4,1,1,1,2,13468161.3,1064698.1,0,214020.5,4075037.6,8128456.9,0,1,0,0,0,0,0,0,1,10,3,12048000,14570800,115000,6370000,42860000,128000,74328800,74328800,7620000,3090000,9000000,0,1400000,0,0,0,0,0,0,0,0,0
12364.18,60,1,0,4,0,2,0,3,39993.7,0,25941.9,0,0,0,12970.9,0,1200,0,0,0,0,0,1,5,1,0,1500,1500,0,0,0,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18226.97,43,0,1,4,2,1,1,2,670165.3,237800.6,0,0,432364.7,0,0,1,0,0,0,0,1,0,2,8,3,80000,295000,215000,2400000,3210000,226100,7331100,6405100,80000,0,1200000,0,0,400000,0,0,126000,0,0,0,926000,10200
38963.39,67,0,1,4,0,1,1,3,43236.5,0,27022.8,0,0,0,16213.7,1,0,0,0,0,0,0,1,6,2,0,27950,27950,350000,0,16800,394750,211350,0,0,0,0,0,95000,0,0,0,0,2400,26000,183400,2016
8616.554,46,0,0,4,0,1,1,1,211858.7,185916.8,0,0,25941.9,0,0,1,0,0,0,0,1,0,1,9,3,0,20500,20500,471000,0,15000,506500,324500,0,0,0,0,0,180000,0,0,0,0,1000,1000,182000,2055
31297.59,51,1,0,3,1,1,1,1,35670.1,28103.7,0,0,0,0,8106.8,0,510,0,0,0,1,0,0,8,2,0,2950,2950,0,0,10000,12950,9420,0,0,0,0,0,0,0,0,2900,0,0,630,3530,245.8
17435.48,77,0,0,4,0,1,0,3,18916,0,16754.1,2378,0,0,0,0,1100,0,0,0,0,0,0,8,3,34000,140240,240,0,0,13000,153240,153240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30053.6,57,1,0,2,2,2,1,1,59450.2,48641,0,0,0,0,10701,1,0,0,1,0,1,0,0,10,0,0,520,520,500000,0,34000,534520,364200,0,0,0,0,0,162000,0,0,5000,0,70,3250,170320,2224.3
89408.17,30,1,1,4,0,1,1,1,116738.5,116738.5,0,237.8,0,0,0,0,1700,0,0,0,0,0,1,7,2,280,43710,36110,0,0,34000,77710,-166590,0,0,0,0,0,0,0,0,16000,213000,9400,5900,244300,777.5
16334.62,56,0,1,3,1,3,1,1,46479.2,39993.7,0,0,0,0,5620.7,1,0,0,0,0,0,0,0,0,0,0,3360,3360,300000,0,9030,312390,290090,0,0,0,0,0,22000,0,0,0,0,0,300,22300,757.5
8827.184,70,0,1,1,0,2,0,3,21618.2,0,22699.1,0,0,0,0,1,0,0,0,1,0,0,0,5,2,0,2650,2650,13000,0,14100,29750,29150,0,0,0,0,0,0,0,0,0,0,600,0,600,100
44390.3,57,0,1,2,0,1,0,3,81068.4,64854.7,16213.7,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,428100,58100,542000,0,60000,1030100,1030100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110574.3,32,1,0,4,0,1,1,2,49721.9,43236.5,0,0,0,0,6485.5,0,1900,0,0,0,0,0,1,8,2,0,13000,13000,0,10000,21000,44000,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
