weight,age,female,married,educ,kids,race,lfpart,empl,income,wageinc,ssretinc,intdivinc,busfarminc,capgainsinc,othinc,owner,rent,hpayday,bankrupt5y,latepay60d,creditapplied,creditdenied,takefinrisk,finknowledge,finlit,equity,finassets,liqassets,houses,business,vehicles,assets,networth,stocks,stkmutfnd,othresre,netnresre,othnfin,mortages,heloc,othloc,instloanveh,instloaneduc,instloanoth,ccbalance,debt,totloanpay
22439.07,47,0,1,3,2,1,1,1,172179.8,172179.8,0,0,0,0,0,1,0,0,0,0,1,0,1,,,425211.9,459881.8,14581.1,385034.4,0,99271.9,944188.1,876723.4,10044.4,50221.9,0,0,0,51895.9,0,0,15568.8,0,0,0,67464.7,1891.7
10721.42,79,1,0,2,0,1,0,3,4993.2,1033.1,14290.9,0,0,0,0,1,0,0,0,0,0,0,0,,,0,9209,9209,251109.4,0,1841.5,262159.9,262159.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4916.469,47,0,1,4,2,1,1,1,521704.9,506208.7,0,3357.5,12569.1,3271.4,0,1,0,0,0,0,1,0,1,,,782624.3,916047.1,12053.3,3013312.9,41851.6,26450.2,3997661.8,2849254.8,0,8370.3,0,0,0,1138362.7,0,0,10044.4,0,0,0,1148407,8253.1
164.0275,58,0,1,4,0,1,1,2,5303139,0,0,0,5854114.5,0,0,1,0,0,0,0,1,0,1,,,41608829.4,47931864.8,129003.3,3348125.5,15501821,2109319.1,83497327.7,74859163.9,35155317.5,0,2385539.4,12220658,0,0,0,0,1941912.8,0,0,0,8638163.7,6277.7
56505.15,65,0,1,2,0,1,1,1,80924.5,53375.8,15324,0,0,5509.8,0,1,0,0,0,0,1,0,1,,,25278.3,101280.8,59764,276220.4,0,32979,410480.2,402009.4,16740.6,8537.7,0,0,0,0,0,0,8035.5,0,0,435.3,8470.8,195
96.35368,47,0,1,4,3,1,1,2,5922986.5,1506573.6,0,44766.8,5165395.2,0,0,1,0,0,0,0,1,0,1,,,4432918.1,4945013.9,34987.9,1506656.5,41851568.5,65288.4,49874179.3,47418833.2,1674062.7,209257.8,1505652,0,0,518959.4,329790.4,0,0,0,0,0,2455346.1,22792.2
80.44171,39,0,1,4,1,1,1,1,7128245.3,3908482.3,0,2773817.2,1721798.4,0,0,1,0,0,0,0,1,0,1,,,33615179.8,35751116.4,1842975.7,8370313.7,42308587.6,93580.1,91294676.7,85333339.3,33481254.8,0,4771078.8,0,0,4402785,0,0,0,0,0,0,5961337.4,46371.5
42909.84,79,0,1,1,0,1,0,3,41323.2,0,41323.2,223.8,0,0,0,1,0,0,0,0,0,0,0,,,0,5189.6,5189.6,150665.6,0,5859.2,161714.5,161714.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3219.917,49,0,1,4,3,1,1,1,344359.7,344359.7,0,0,0,0,0,1,0,0,0,0,1,0,1,,,1587011.5,1926009.2,38503.4,736587.6,0,82196.5,2744793.3,2355573.7,418515.7,1071400.2,0,0,0,351553.2,0,0,35992.3,0,0,1674.1,389219.6,4896.6
23491.64,32,0,1,3,2,1,1,1,132578.5,132578.5,0,0,0,0,0,0,719.8,0,0,0,1,0,1,,,68636.6,118858.5,3348.1,0,0,21762.8,140621.3,98585.6,0,0,0,0,0,0,0,0,40177.5,0,0,1858.2,42035.7,632.4
62.89416,68,0,1,4,0,1,1,2,7093809.4,58541.1,0,127413.1,6887193.6,860899.2,0,1,0,0,0,0,1,0,1,,,4185156.8,46451892.9,2089230.3,8370313.7,251092670.2,343182.9,323166120.1,313168617.5,1674062.7,2511094.1,1841469,15066591.4,0,1074748.3,0,8922754.4,0,0,0,0,9997502.7,220701.2
34995.13,47,0,1,2,3,3,1,1,266878.8,77480.9,0,0,232442.8,0,0,1,0,0,0,0,1,0,2,,,0,15066.6,15066.6,318071.9,60266.3,8705.1,402109.9,177785.5,0,0,0,0,0,219302.2,0,0,0,0,0,5022.2,224324.4,2301.8
150.3701,76,0,0,3,0,1,1,2,4786599.5,68871.9,32714.2,445945.8,189397.8,137743.9,0,1,0,0,0,0,0,0,0,,,627773.5,1695055.5,775660.2,1506656.5,539048.2,54909.3,3795669.4,3795669.4,502218.8,125554.7,0,0,0,0,0,0,0,0,0,0,0,0
25137.6,56,0,0,4,0,1,0,3,20661.6,0,20661.6,0,0,0,0,0,418.5,0,1,0,1,1,0,,,0,1423,1423,0,0,12890.3,14313.2,7951.8,0,0,0,0,0,0,0,0,0,0,0,0,6361.4,0
29157.25,41,0,1,4,0,1,1,2,227277.4,189397.8,0,0,34436,3443.6,0,1,0,0,0,0,1,1,1,,,80355,100443.8,15066.6,251109.4,1674.1,41684.2,394911.4,189001.7,5022.2,0,0,0,0,167406.3,0,0,0,21762.8,5022.2,11718.4,205909.7,1866.6
8626.498,58,0,1,3,0,1,1,1,289262.1,223833.8,0,24105.2,6887.2,34436,0,1,0,0,0,0,1,0,0,,,2678500.4,3307780.6,361430.1,1674062.7,251109.4,91906,7191438.7,6911200.6,2511094.1,0,1732654.9,133925,0,207583.8,0,0,40177.5,0,0,16740.6,280238.1,3699.7
29228.38,29,1,0,4,0,1,1,1,67150.1,65428.3,0,1205.3,0,0,0,0,1171.8,0,0,0,1,0,1,,,5022.2,27789.4,19084.3,0,0,28459.1,56248.5,34485.7,0,0,0,0,0,0,0,0,21762.8,0,0,0,21762.8,652.9
38811.68,63,0,1,2,1,1,1,1,82646.3,55097.5,25827,2066.2,0,0,0,1,0,0,0,0,1,0,1,,,669.6,9877,5859.2,148991.6,0,40344.9,199213.5,43860.4,669.6,0,0,0,0,115510.3,0,0,38503.4,0,0,1339.3,155353,1506.7
11109.23,79,0,1,4,0,1,1,1,246217.2,36157.8,113638.7,49949.4,8609,602.6,0,1,0,0,0,0,0,0,1,,,530677.9,1309117.1,90399.4,669625.1,0,16071,2134597.4,2134597.4,167406.3,36829.4,0,0,139784.2,0,0,0,0,0,0,0,0,0
30373.72,65,0,0,1,0,2,0,3,12741.3,0,12224.8,0,0,0,0,0,334.8,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984.7346,45,0,1,2,1,1,1,1,103307.9,103307.9,0,0,0,0,0,0,1339.3,0,0,0,1,0,1,,,21762.8,25278.3,3515.5,0,0,39675.3,64953.6,41684.2,0,0,0,0,0,0,0,0,20088.8,0,0,3180.7,23269.5,749.1
