weight,age,female,married,educ,kids,race,lfpart,empl,income,wageinc,ssretinc,intdivinc,busfarminc,capgainsinc,othinc,owner,rent,hpayday,bankrupt5y,latepay60d,creditapplied,creditdenied,takefinrisk,finknowledge,finlit,equity,finassets,liqassets,houses,business,vehicles,assets,networth,stocks,stkmutfnd,othresre,netnresre,othnfin,mortages,heloc,othloc,instloanveh,instloaneduc,instloanoth,ccbalance,debt,totloanpay
35698.65,75,0,1,3,0,1,1,1,72172.2,47189.5,48577.4,0,0,0,0,1,0,0,0,0,0,0,0,,,72045.6,146221.8,1447.7,143408.2,0,16389.5,306019.5,299190.6,0,47802.7,0,0,0,6829,0,0,0,0,0,0,6829,300.5
26174.04,59,1,0,4,0,1,0,4,47189.5,0,0,0,0,0,47189.5,1,0,0,0,0,1,0,0,,,27315.9,78533.1,44388.3,204868.9,0,19121.1,302523.1,179601.7,0,0,0,0,0,122921.3,0,0,0,0,0,0,122921.3,669.2
31321.15,94,1,0,1,0,1,0,3,24982.7,0,24982.7,0,0,0,0,1,0,0,0,0,0,0,0,,,0,6009.5,6009.5,136579.3,0,3551.1,146139.8,146139.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19695.12,63,0,1,3,0,1,1,4,137404.7,123525.5,13462.9,69.4,0,0,0,1,0,0,0,0,1,0,0,,,0,87001,5053.4,177553.1,0,13384.8,277938.8,254720.3,0,0,0,0,0,23218.5,0,0,0,0,0,0,23218.5,1092.6
20332.2,50,0,1,3,0,1,1,1,104094.5,76336,73560.1,0,29146.5,0,0,1,0,0,0,0,1,0,0,,,45890.6,66118,560,189845.2,0,58319.4,314282.6,115696.3,0,0,0,0,0,181650.4,0,0,10106.9,0,0,6829,198586.3,1768.7
23870.96,23,0,1,1,0,2,1,1,11103.4,10964.6,0,0,0,0,0,0,614.6,1,0,0,1,1,1,,,0,969.7,969.7,0,0,4780.3,5750,5231,0,0,0,0,0,0,0,0,519,0,0,0,519,81.9
10476.07,68,0,1,4,1,1,0,3,281749.1,0,147120.2,1054.8,29146.5,-2498.3,84663.5,1,0,0,0,0,1,0,2,,,487588,570969.7,9628.8,1912109.9,0,37422.7,3818005.4,1498889.3,0,0,1297503.1,0,0,579096.1,603680.4,0,0,0,0,77850.2,2319116.1,16874.4
11511.58,53,0,1,2,0,1,0,4,40249.9,40249.9,0,0,0,0,0,0,1365.8,0,0,0,1,0,1,,,286816.5,651442.2,1734.6,0,0,11199.5,662641.7,552627.1,0,0,0,0,0,0,0,0,0,0,0,110014.6,110014.6,2750.4
22039.64,42,0,1,4,2,1,1,1,136016.8,136016.8,0,0,0,0,0,1,0,0,0,0,1,0,0,,,31959.6,73343.1,20077.2,208966.3,0,38242.2,320551.6,132072.2,0,0,0,0,0,166626.7,0,0,21852.7,0,0,0,188479.4,2458.4
16635.25,72,1,0,4,0,1,0,3,47189.5,0,34698.2,10270.7,0,8327.6,0,1,0,0,0,0,0,0,1,,,44251.7,610919.1,31413.2,136579.3,0,5326.6,752825,752825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17443.06,67,0,1,4,0,3,1,1,265094,192921.8,68008.4,3469.8,0,0,0,1,0,0,0,0,1,0,1,,,220575.5,516952.6,107214.7,273158.6,0,96425,1057260.2,673499.7,0,0,170724.1,0,0,183016.2,0,0,77850.2,0,0,1338.5,383760.4,6138.6
16426.69,56,0,1,2,0,1,0,3,68008.4,0,68008.4,0,0,0,0,1,0,0,0,0,1,0,0,,,0,6.8,6.8,47802.7,0,27315.9,75125.4,44722.9,0,0,0,0,0,25950.1,0,0,3906.2,0,546.3,0,30402.5,1065.3
21220.57,63,0,0,4,0,1,0,3,48577.4,0,19431,0,3469.8,0,24982.7,1,0,0,0,0,1,0,0,,,0,4821.2,4821.2,218526.8,0,19121.1,242469.2,-45576.5,0,0,0,0,0,243111.1,0,0,4780.3,0,0,40154.3,288045.7,2642.8
