weight,age,female,married,educ,kids,race,lfpart,empl,income,wageinc,ssretinc,intdivinc,busfarminc,capgainsinc,othinc,owner,rent,hpayday,bankrupt5y,latepay60d,creditapplied,creditdenied,takefinrisk,finknowledge,finlit,equity,finassets,liqassets,houses,business,vehicles,assets,networth,stocks,stkmutfnd,othresre,netnresre,othnfin,mortages,heloc,othloc,instloanveh,instloaneduc,instloanoth,ccbalance,debt,totloanpay
36092.02,35,1,0,2,4,1,1,4,12026.1,2405.2,0,0,0,0,12026.1,0,299.7,0,0,0,,0,1,,,0,0,0,0,0,4611.2,4611.2,2974.2,0,0,0,0,0,0,0,0,1498.6,0,138.3,0,1637,276.7
36287.16,35,1,0,2,3,2,0,4,14431.3,0,0,0,0,0,15922.5,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20596.4,40,0,1,2,3,4,1,1,103424.3,103424.3,0,240.5,0,0,0,1,0,0,0,0,,0,0,,,0,55334,27667,172918.9,0,32278.2,281281.3,248311.5,0,0,18444.7,2305.6,0,23055.8,0,0,6916.8,0,0,2997.3,32969.9,1642.7
24469.83,51,1,0,2,1,2,1,1,24052.2,24052.2,0,0,0,0,0,1,115.3,0,0,0,,1,1,,,0,1083.6,1083.6,23055.8,0,18444.7,49500.9,14594.4,0,0,0,6916.8,0,6916.8,0,0,23055.8,4611.2,0,322.8,34906.6,861.1
31029.96,28,0,1,2,3,2,1,1,43293.9,43293.9,0,0,0,0,216.5,1,115.3,0,0,1,,1,0,,,0,276.7,276.7,41500.5,0,2305.6,44082.8,7193.4,0,0,0,0,0,27667,0,0,0,9222.3,0,0,36889.4,714.7
28916.6,32,0,1,2,1,4,1,1,14431.3,14431.3,0,0,0,0,0,1,0,0,0,0,,1,1,,,0,1152.8,1152.8,11527.9,0,0,12680.7,12680.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28488.27,33,0,1,2,4,4,1,2,26457.4,26457.4,0,0,0,0,0,1,0,0,0,1,,1,0,,,0,1337.2,1337.2,34583.8,0,3758.1,39679.1,25845.6,0,0,0,0,0,9222.3,0,0,0,0,4611.2,0,13833.5,2259.5
42098.54,52,0,1,1,6,2,1,1,36078.3,36078.3,0,0,0,0,0,1,0,0,0,0,,0,0,,,0,1152.8,1152.8,69167.5,0,6801.5,77121.8,72994.8,0,0,0,0,0,0,0,0,0,0,3435.3,691.7,4127,178.7
44040.55,62,0,1,1,5,2,0,3,24052.2,0,14431.3,0,0,0,7215.7,1,0,0,0,0,,0,0,,,0,0,0,92223.4,0,9222.3,101445.7,96073.7,0,0,0,0,0,0,0,0,2305.6,0,3066.4,0,5372,5026.2
45181.47,63,1,0,1,0,1,0,3,12026.1,0,7215.7,0,0,0,4810.4,0,0,0,0,1,,0,0,,,0,0,0,0,0,2305.6,2305.6,-4611.2,0,0,0,0,0,0,0,0,0,0,6916.8,0,6916.8,69.2
53469.79,21,1,0,2,2,2,1,4,4810.4,601.3,0,0,0,0,4810.4,0,23.1,0,0,0,,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37246.29,35,1,0,4,2,2,1,1,69751.3,57725.2,0,0,0,0,12026.1,1,0,0,0,0,,0,1,,,0,9452.9,7839,219030.6,0,13833.5,242317,145482.4,0,0,0,0,0,0,0,0,0,0,96834.6,0,96834.6,7700.7
