weight,age,female,married,educ,kids,race,lfpart,empl,income,wageinc,ssretinc,intdivinc,busfarminc,capgainsinc,othinc,owner,rent,hpayday,bankrupt5y,latepay60d,creditapplied,creditdenied,takefinrisk,finknowledge,finlit,equity,finassets,liqassets,houses,business,vehicles,assets,networth,stocks,stkmutfnd,othresre,netnresre,othnfin,mortages,heloc,othloc,instloanveh,instloaneduc,instloanoth,ccbalance,debt,totloanpay
165.9885,65,0,1,2,0,1,1,2,1312120.1,225462.9,17926.1,42505.3,4657102.4,0,0,1,0,0,0,0,1,0,0,,,0,2622318,60534.7,1823333.3,182333515.7,1173497.3,189176121,189176121,0,0,1223456.7,0,0,0,0,0,0,0,0,0,0,0
161.4469,62,0,1,4,0,1,1,2,2457915.1,86858.7,0,1530190.8,3372703.1,0,81314.5,1,0,0,0,0,0,0,1,,,3646666.7,8421794.3,1563326,957250,32838233.3,213694.7,44254305.7,44254305.7,3646666.7,0,1823333.3,0,0,0,0,0,0,0,0,0,0,0
22771.62,18,1,0,3,0,1,1,1,2217.7,2217.7,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,4706,4706,364666.7,0,0,369372.7,327436,0,0,0,0,0,41936.7,0,0,0,0,0,0,41936.7,1002.8
10788.14,58,1,0,4,0,1,0,3,164477,0,92402.8,70226.1,-4250.5,1663.3,0,1,0,0,0,0,1,1,1,,,1258100,2062190,58346.7,501416.7,0,80226.7,2643833.3,2643833.3,838733.3,83873.3,0,0,0,0,0,0,0,0,0,0,0,0
25045.72,32,1,0,1,2,1,1,1,24024.7,24024.7,0,0,0,0,0,0,638.2,0,0,1,0,0,0,,,0,0,0,0,0,0,0,-273.5,0,0,0,0,0,0,0,0,0,0,273.5,0,273.5,54.7
166.4901,65,0,1,4,0,1,1,2,1402674.9,0,0,330802.1,96098.9,0,0,1,0,0,0,0,0,0,2,,,3646666.7,18326305.1,2474245.1,1094000,30996666.7,88614,56613752.4,56613752.4,3646666.7,0,1221633.3,4886533.3,0,0,0,0,0,0,0,0,0,0
47607.81,22,0,1,3,0,1,0,4,5544.2,5544.2,0,0,0,0,0,0,711.1,0,0,0,1,0,0,,,0,1859.8,1859.8,0,0,13675,15534.8,-2698.5,0,0,0,0,0,0,0,0,0,18233.3,0,0,18233.3,0
35299.8,51,1,0,4,0,1,1,1,103491.2,103491.2,0,776.2,0,591.4,0,1,0,0,0,0,1,1,1,,,102106.7,212418.3,42848.3,164100,0,23156.3,399674.7,317624.7,0,43760,0,0,0,82050,0,0,0,0,0,0,82050,1039.3
77.1479,51,0,1,4,1,1,1,2,2772084.7,685629,0,51191.2,30400529.4,110883.4,0,1,0,0,0,0,1,1,1,,,1103116.7,1491669,140579,911666.7,229071201.3,218800,232605003.7,231875670.3,638166.7,0,911666.7,0,0,91166.7,91166.7,0,0,0,0,0,729333.3,6655.2
35422.61,42,0,1,3,1,1,1,1,147844.5,147844.5,0,0,0,0,0,1,0,0,0,0,1,0,1,,,0,52147.3,37378.3,182333.3,0,40295.7,274776.3,112682,0,0,0,0,0,102106.7,5470,0,43760,0,0,10757.7,162094.3,2256.4
