weight,age,female,married,educ,kids,race,lfpart,empl,income,wageinc,ssretinc,intdivinc,busfarminc,capgainsinc,othinc,owner,rent,hpayday,bankrupt5y,latepay60d,creditapplied,creditdenied,takefinrisk,finknowledge,finlit,equity,finassets,liqassets,houses,business,vehicles,assets,networth,stocks,stkmutfnd,othresre,netnresre,othnfin,mortages,heloc,othloc,instloanveh,instloaneduc,instloanoth,ccbalance,debt,totloanpay
32135.68,71,1,0,3,0,1,0,3,16241,0,11243.8,0,0,0,4872.3,1,0,0,0,0,1,0,0,10,3,0,27504.2,370,185005.6,0,5920.2,218430,217961.3,0,0,0,0,0,0,0,0,0,0,0,468.7,468.7,11.7
32371.4,20,0,1,2,0,3,1,4,28734,23736.8,0,0,0,0,4247.6,0,727.7,0,0,0,1,0,1,8,1,0,6.2,6.2,0,0,0,6.2,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25070.71,30,0,1,3,2,4,1,1,138673,133675.7,0,3123.3,0,0,1874,1,0,0,0,0,1,0,0,8,3,164223.3,323143.2,71535.5,138137.5,0,40824.6,502105.3,376054.8,12333.7,0,0,0,0,112236.8,0,0,6783.5,5180.2,0,1233.4,126050.5,1537.6
28612.02,33,1,0,2,2,3,1,1,52470.8,52470.8,0,0,0,0,0,1,0,0,0,0,1,0,0,7,3,8485.6,12654.4,1973.4,273808.3,0,22200.7,308663.4,48496.1,0,0,0,0,0,259007.9,0,0,0,0,0,49.3,260167.3,1666.3
31051.48,41,0,1,4,1,1,1,1,141171.6,141171.6,0,0,0,0,0,1,0,0,0,0,1,0,0,7,2,25413.6,151457.9,14800.5,193639.2,0,31451,376548.1,160708.2,0,0,0,0,0,145537.8,0,0,14800.5,30834.3,0,24667.4,215839.9,3527.4
15542.99,25,1,0,2,0,1,1,2,18739.6,18739.6,0,0,0,0,0,0,629,0,0,0,1,0,1,5,2,0,1270.4,1270.4,0,0,10360.3,11630.7,-13036.7,0,0,0,0,0,0,0,0,8633.6,16033.8,0,0,24667.4,259
12696.54,29,0,0,4,0,1,1,1,77457,74958.4,0,749.6,2373.7,0,0,1,0,0,0,0,1,0,1,8,3,82080.8,251607.7,32067.6,157871.5,339177,27750.8,850409.2,739405.9,0,67835.4,0,74002.3,0,111003.4,0,0,0,0,0,0,111003.4,925
22602.34,30,1,1,1,3,2,1,4,33731.3,0,0,0,8995,0,24111.6,0,1726.7,0,0,0,1,1,0,1,1,0,345.3,345.3,0,0,22200.7,22546,22546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30089.24,21,0,0,3,0,1,1,1,21238.2,21238.2,0,0,0,0,0,0,394.7,0,0,0,0,0,1,7,3,493.3,15195.1,12235,0,0,3823.4,20252,20252,0,0,0,0,1233.4,0,0,0,0,0,0,0,0,0
25459.88,48,1,0,3,2,1,1,1,52470.8,52470.8,0,0,0,0,0,1,0,0,0,0,1,0,0,9,2,0,7153.6,2220.1,148004.5,0,20967.3,176125.4,13320.4,0,0,0,0,0,141837.7,0,0,20967.3,0,0,0,162805,1566.4
