weight,age,female,married,educ,kids,race,lfpart,empl,income,wageinc,ssretinc,intdivinc,busfarminc,capgainsinc,othinc,owner,rent,hpayday,bankrupt5y,latepay60d,creditapplied,creditdenied,takefinrisk,finknowledge,finlit,equity,finassets,liqassets,houses,business,vehicles,assets,networth,stocks,stkmutfnd,othresre,netnresre,othnfin,mortages,heloc,othloc,instloanveh,instloaneduc,instloanoth,ccbalance,debt,totloanpay
52831.43,47,0,1,2,0,3,1,1,77997.5,77997.5,0,0,0,0,0,1,0,0,0,0,1,0,1,,,123066.1,134084.8,1001.7,414990.2,0,55809,604884,448904.9,0,0,0,0,0,81567,0,0,37206,0,0,37206,155979.1,2804.8
1040.619,56,0,1,4,2,1,1,2,2958019.2,0,0,17659.8,2943302.7,1471.7,0,0,12163.5,0,0,0,0,0,1,,,2447011.1,3898045.8,466506.2,0,357750.2,35775,8584572.9,8584572.9,1860300.9,0,4293002,0,0,0,0,0,0,0,0,0,0,0
2671.026,50,0,1,1,2,1,1,2,130977,66224.3,0,0,64752.7,0,0,1,0,0,0,0,1,0,1,,,5151.6,171863.2,7298.1,243270.1,143100.1,165137.5,723370.8,510294.8,0,0,0,0,0,191754.1,0,0,7011.9,0,0,14310,213076,2404.1
20235.77,61,0,1,3,1,1,1,1,233992.6,147165.1,0,7652.6,79469.2,0,0,1,0,0,0,0,1,0,1,,,209498.5,663268.8,79420.5,3005101.4,0,246561.4,9169566,8461220.7,11448,0,476523.2,4778111.2,0,582417.3,0,0,5724,0,0,4293,708345.3,6532.5
31873.68,26,0,1,1,2,3,1,1,41206.2,41206.2,0,0,0,0,0,0,1574.1,0,0,0,0,0,1,,,0,1431,1431,0,0,3291.3,4722.3,4722.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9002.27,62,0,1,4,0,1,1,1,151580.1,91242.4,77997.5,4709.3,-22074.8,0,0,1,0,0,0,0,1,0,1,,,250425.1,1676703.5,32197.5,679725.3,393525.2,60102,2810056,2591112.9,0,0,0,0,0,207495.1,0,0,0,0,0,11448,218943.1,2432.7
1387.747,79,0,1,4,0,1,0,3,1056645.7,0,139806.9,530530.3,306103.5,44149.5,0,1,0,0,0,0,0,0,1,,,1931850.9,11030153,1943298.9,5724002.6,0,24899.4,55187112.6,54557472.3,0,0,0,38408057.6,0,629640.3,0,0,0,0,0,0,629640.3,6153.3
40710.53,49,0,1,2,1,1,1,1,132448.6,132448.6,0,0,0,0,0,1,0,0,0,0,1,1,0,,,0,63393.3,2862,143100.1,0,25471.8,231965.2,150398.2,0,0,0,0,0,71550,0,0,0,7155,0,2862,81567,1545.5
8017.725,65,0,1,4,0,4,0,3,76525.9,0,61809.4,11773.2,-189843,192786.3,0,1,0,0,0,0,1,0,1,,,715500.3,968787.4,31482,2146501,0,10589.4,4893163.6,3963013.2,0,500850.2,236115.1,1531170.7,0,930150.4,0,0,0,0,0,0,930150.4,4722.3
27234.25,40,1,0,1,2,1,1,2,33848,0,20603.1,0,19131.5,0,0,0,930.2,0,0,0,0,0,1,,,0,2432.7,2432.7,0,0,0,2432.7,2432.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.7765,54,0,1,4,0,1,1,1,6122069.5,1677682.5,0,2896209.8,20603.1,765258.7,0,1,0,0,0,0,0,0,1,,,125794974.5,181395073.9,12309467.6,3248371.5,583848.3,416421.2,196948620,196948620,125212557.2,0,11304905.2,0,0,0,0,0,0,0,0,0,0,0
42907.93,30,0,1,3,0,3,1,1,95657.3,95657.3,0,0,0,0,0,0,744.1,0,0,1,0,0,0,,,5870.3,13322.6,443.6,0,0,0,13322.6,1874.6,0,0,0,0,0,0,0,0,0,11448,0,0,11448,143.1
4541.519,33,0,1,4,3,1,1,2,284028.7,0,0,3370.1,254595.7,0,0,1,0,0,0,0,1,0,1,,,150541.3,237546.1,65826,329130.2,7155003.3,71550,7793229.6,7506313.9,0,88722,0,0,0,257580.1,0,0,29335.5,0,0,0,286915.6,3463
55019.18,77,0,1,2,0,1,0,3,44885.4,8829.9,38998.8,0,0,0,0,1,0,0,0,0,1,0,0,,,4293,91798.7,13809.2,200340.1,0,23039.1,315177.9,309124.8,4293,0,0,0,0,0,0,0,6010.2,0,0,42.9,6053.1,544.9
43019.95,62,0,0,3,0,4,0,3,14716.5,0,0,0,0,0,16188.2,1,0,0,1,0,1,1,1,,,0,286.2,286.2,85860,0,10446.3,96592.5,92299.5,0,0,0,0,0,0,0,0,0,0,0,4293,4293,107.3
28787.08,43,0,1,2,2,1,1,2,36791.3,36791.3,0,0,0,0,0,1,0,0,0,0,1,0,0,,,0,8171,2876.3,114480.1,20034,5409.2,153818.3,107167.6,0,0,0,5724,0,38637,0,0,2862,0,5151.6,0,46650.6,1330.8
41275.1,49,0,0,1,0,1,0,3,8829.9,0,8829.9,0,0,0,0,0,787.1,0,0,0,0,0,0,,,0,0,0,0,0,12879,12879,11448,0,0,0,0,0,0,0,0,0,0,0,0,1431,0
36914.27,29,0,1,4,0,1,1,1,128033.7,125090.4,0,2943.3,0,0,0,0,2289.6,0,0,0,1,0,1,,,233253.1,238834,5580.9,0,0,43931.7,307092.7,158268.7,51516,37206,24327,0,0,0,0,0,20034,128790.1,0,0,148824.1,1058.9
116.9212,65,0,1,4,0,1,0,3,5768873.2,0,257539,1898430.2,956573.4,2648972.4,0,1,0,0,0,0,0,0,2,,,29907913.7,42608044.5,7119228.3,2862001.3,14310006.5,394526.9,84143840.2,84143840.2,28620013.1,0,8228253.8,0,15741007.2,0,0,0,0,0,0,0,0,0
43162.27,60,1,0,2,1,1,1,1,41206.2,41206.2,0,0,0,0,0,1,0,0,0,0,1,0,1,,,28476.9,30623.4,2146.5,71550,0,6153.3,108326.7,43073.1,0,0,0,0,0,60102,0,0,3720.6,0,0,1431,65253.6,1094.7
6856.09,52,0,1,4,1,1,1,2,525379.5,200144.6,0,735.8,323763.3,0,0,1,0,0,0,0,1,0,1,,,570611.5,812837,253315.7,643950.3,71550,25042.5,4567067.2,3625468.8,107325,321975.1,2003400.9,974511.4,35775,0,0,0,0,0,0,0,941598.4,9444.6
29891.61,52,0,1,2,0,1,1,1,123618.7,125090.4,0,29.4,0,0,0,0,2718.9,0,0,0,1,0,1,,,100170,208210.6,7870.5,0,0,32340.6,240551.2,192612.7,0,0,0,0,0,0,0,0,24327,0,2146.5,21465,47938.5,1094.7
1912.41,69,0,1,4,0,1,1,2,1451048.2,0,46209.9,228106,1103738.5,73582.6,0,1,0,0,0,0,0,0,1,,,1473930.7,4414637,615330.3,2862001.3,2862001.3,28906.2,33564406.5,33278206.4,1431000.7,0,0,23396860.7,0,286200.1,0,0,0,0,0,0,286200.1,3005.1
41004.45,57,0,1,3,0,4,1,1,95804.5,38262.9,26636.9,0,13686.4,0,0,1,0,0,0,0,1,0,0,,,71550,77274,5724,715500.3,0,7727.4,1667688.2,1657671.2,0,0,751275.3,115911.1,0,0,0,0,0,0,0,10017,10017,250.4
2323.618,48,0,1,4,1,1,1,2,618093.6,176598.2,0,441.5,441495.4,0,0,1,0,0,0,0,1,0,1,,,558090.3,1405671.9,129219.4,3577501.6,8158134.7,35202.6,24110071.4,22942374.9,0,357750.2,2862001.3,8071559.2,0,1167696.5,0,0,0,0,0,0,1167696.5,7870.5
39457.95,44,0,1,3,0,1,1,1,207502.8,200144.6,0,58.9,1147.9,0,5150.8,1,0,0,0,0,1,1,1,,,228244.6,300982.4,14782.2,147393.1,0,41499,489874.5,382263.2,0,0,0,0,0,78705,0,0,28620,0,0,286.2,107611.2,1767.3
36605.04,45,0,1,4,1,1,1,1,278142.1,247237.4,0,88.3,0,0,0,0,1717.2,0,0,0,1,0,1,,,128790.1,262731.7,2289.6,0,0,13594.5,276326.2,274179.7,0,0,0,0,0,0,0,0,0,0,0,2146.5,2146.5,53.7
28669.46,39,0,1,3,2,1,1,1,181013.1,179541.5,0,88.3,0,0,0,1,0,0,0,0,1,0,1,,,165008.7,316608.9,29693.3,460782.2,0,72981,881854.2,369341.3,0,0,0,0,31482,174582.1,204633.1,0,38637,0,0,44575.7,512512.9,5572
37711.54,46,1,0,2,2,1,1,1,83884.1,129505.3,0,780,3679.1,0,2943.3,1,0,0,0,0,1,0,1,,,30051,210070.9,39352.5,443610.2,7155,27189,688025.1,463930.4,0,0,0,0,0,194616.1,25758,0,0,0,0,3720.6,224094.7,1352.3
35963.93,39,1,0,3,2,3,0,3,26489.7,0,7946.9,0,0,0,18395.6,0,944.5,0,1,0,0,0,0,,,0,57.2,57.2,0,0,5724,5781.2,5781.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
